,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship,shopee_guaranteed,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,years_ex,follower
0,https://shopee.vn/N%E1%BA%AFp-L%C6%B0ng-Nokia-8.1-2018-X7-i.238798148.3237727836?position=1049,"Yêu Thích
Nắp Lưng Nokia 8.1 2018 / X7",5.00,9,,,,,,,,15,,,78000.00,37,,,,3 Ngày Trả Hàng / Hoàn Tiền,Linh Kiện Hà Nội,linhkien.hanoi,False,"2,2k","1,6k",85%,trong vài giờ,19 tháng trước,367
1,https://shopee.vn/-H%C3%80NG-CH%C3%8DNH-H%C3%83NG-M%E1%BB%9AI-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-106-2-sim-(2020)-%C4%91%E1%BB%A7-pin-s%E1%BA%A1c-b%E1%BA%A3o-h%C3%A0nh-6-th%C3%A1ng-i.89899849.8632163037?position=1050,"Yêu Thích
[HÀNG CHÍNH HÃNG MỚI] Điện thoại Nokia 106 2 sim (2020) đủ pin sạc bảo hành 6 tháng",5.00,3,,,,,,,,5,,,260000.00,54,,,,3 Ngày Trả Hàng / Hoàn Tiền,ChiKhoi Mart,nguyen_lien001,False,471,66,85%,trong vài giờ,3 năm trước,"3,9k"
2,https://shopee.vn/B%E1%BB%99-m%C3%A0n-h%C3%ACnh-xiaomi-note-8-note8-i.147817356.7719224787?position=1051,"Bộ màn hình xiaomi note 8 , note8",5.00,4,4,0,,,,3,2,9,,,680000.00,1,,,,3 Ngày Trả Hàng / Hoàn Tiền,phukienthapcam,phukienthapcam,False,83,38,89%,trong vài phút,29 tháng trước,32
3,https://shopee.vn/K%C3%ADnh-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-Iphone-12-12-Mini-12-Pro-12-Pro-Max-ch%C3%ADnh-h%C3%A3ng-King-Kong-si%C3%AAu-m%C6%B0%E1%BB%9Bt-i.12819460.4363033273?position=1054,"Yêu Thích+
Kính cường lực Iphone 12 , 12 Mini, 12 Pro, 12 Pro Max chính hãng King Kong siêu mướt",5.00,4,4,0,,,,2,1,16,140000.00,100000.00,,104,,,,3 Ngày Trả Hàng / Hoàn Tiền,Huỳnh Tân Store,huynhtan.xiaomiking,False,"64,3k","2,4k",99%,trong vài giờ,5 năm trước,41k
4,https://shopee.vn/1-Caphe-idol-gc-lo%E1%BA%A1i-m%E1%BA%A1nh-m%E1%BA%ABu-c%C5%A9.1h-10goi.-i.83413915.2417289105?position=1055,"1 Caphe idol gc loại mạnh, mẫu cũ.1h 10goi.",5.00,3,3,0,,,,3,2,21,,,120000.00,43,,,,3 Ngày Trả Hàng / Hoàn Tiền,thuykieu2604,thuykieu2604,False,204,76,54%,trong vài giờ,3 năm trước,120
5,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-LG-V50S-ram-8-b%E1%BB%99-nh%E1%BB%9B-256g-ch%C3%ADp-snapdaragon-855-si%C3%AAu-m%C6%B0%E1%BB%A3t-i.71474818.8879919389?position=1056,"Yêu Thích+
Điện thoại LG V50S ram 8 bộ nhớ 256g chíp snapdaragon 855 siêu mượt",5.00,6,6,0,,,,6,5,8,4490100.00,4220100.00,,17,,,,3 Ngày Trả Hàng / Hoàn Tiền,ATU MOBILE,ljnh1993,False,"1,2k",60,94%,trong vài giờ,3 năm trước,"9,7k"
6,https://shopee.vn/S%E1%BB%89-Mi%E1%BA%BFng-D%C3%A1n-T%C3%A0i-L%E1%BB%99c-C%E1%BA%A3i-V%E1%BA%ADn-B%C3%ACnh-An-%C4%90%E1%BA%B9p-Lung-Linh-Ph%C3%B9-H%E1%BB%A3p-V%E1%BB%9Bi-C%C3%A1c-D%C3%B2ng-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-i.450997654.8458989069?position=1057,"Sỉ Miếng Dán Tài Lộc,Cải Vận, Bình An, Đẹp Lung Linh,Phù Hợp Với Các Dòng Điện Thoại",4.20,5,4,1,,,,3,3,40,9600.00,2000.00,,10495,,,,3 Ngày Trả Hàng / Hoàn Tiền,shopmiengdantailoc,shopmiengdantailoc,False,30,31,36%,trong vài giờ,5 tháng trước,40
7,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-samsung-A20-m%E1%BB%9Bi-99-%C4%91%E1%BB%8F-v%C3%A0-xanh-i.82689682.8355866713?position=1058,Điện thoại samsung A20 mới 99% đỏ và xanh,4.25,4,,,,,,,,4,,,1850000.00,7,,,,3 Ngày Trả Hàng / Hoàn Tiền,Tri Huynh Computer,trihuynhcomputer,False,8,76,88%,trong vài giờ,3 năm trước,31
8,https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-NG%C6%AF%E1%BB%9CI-GI%C3%80-VIETTEL-V6261-ng%C6%B0%E1%BB%9Di-gi%C3%A0-loa-si%C3%AAu-to-%C4%91%C3%A3-qua-s%E1%BB%AD-d%E1%BB%A5ng-i.89899849.6336443254?position=1059,"Yêu Thích
ĐIỆN THOẠI NGƯỜI GIÀ VIETTEL V6261 người già loa siêu to đã qua sử dụng",4.00,8,,,,,,,,28,,,230000.00,21,,,,3 Ngày Trả Hàng / Hoàn Tiền,ChiKhoi Mart,nguyen_lien001,False,471,66,85%,trong vài giờ,3 năm trước,"3,9k"
9,https://shopee.vn/Nokia-1200-1208-H%C3%80NG-CH%C3%8DNH-H%C3%83NG-k%C3%A8m-pin-s%E1%BA%A1c-x%E1%BB%8Bn-i.293394460.3954065635?position=1060,"Nokia 1200,1208 [HÀNG CHÍNH HÃNG]kèm pin,sạc xịn",5.00,4,,,,,,,,110,,,180000.00,6,,,,3 Ngày Trả Hàng / Hoàn Tiền,Shop MinhMobile,minh_nokia85,False,295,37,85%,trong vài giờ,14 tháng trước,"1,8k"
