,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship,shopee_guaranteed,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,years_ex,follower
0,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-may-m%E1%BA%AFn-lung-linh-ph%C3%B9-h%E1%BB%A3p-c%C3%A1c-d%C3%B2ng-m%C3%A1y-i.157579372.6793129121?position=0,"Yêu Thích
Miếng dán điện thoại may mắn, lung linh phù hợp các dòng máy",4.83,673,619,12,,,,382,313,"16,4k",6700.00,1400.00,,21699,,,,3 Ngày Trả Hàng / Hoàn Tiền,Tổng kho hàng China,hung_pham130217,False,"1,5k",14,97%,trong vài giờ,28 tháng trước,"3,3k"
1,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vivo-Y20-(2021)-4GB-64GB-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.69897724.9570657944?position=1,Điện thoại Vivo Y20 (2021) 4GB + 64GB - Hàng chính hãng,4.95,978,954,7,,,,403,301,"4,9k",,,3990000.00,1711,7 ngày miễn phí trả hàng,Hàng chính hãng 100%,Miễn phí vận chuyển,,VIVO OFFICIAL STORE,vivo_official_store_vn,True,"6,7k",28,100%,trong vài giờ,3 năm trước,"170,5k"
2,https://shopee.vn/Apple-iPhone-11-64GB-i.88201679.5600084939?position=2,Apple iPhone 11 64GB,4.83,1184,,,,,,,,"3,5k",21990000.00,13990000.00,,0,7 ngày miễn phí trả hàng,Hàng chính hãng 100%,Miễn phí vận chuyển,,Apple Flagship Store,apple_flagship_store,True,"18,5k",129,99%,trong vài giờ,3 năm trước,"311,3k"
3,https://shopee.vn/-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-100-Nokia-1280-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia1280-Zin-Ch%C3%ADnh-H%C3%A3ng-%C4%90%E1%BB%A7-Ph%E1%BB%A5-Ki%E1%BB%87n-Pin-S%C3%A0i-C%E1%BA%A3-Tu%E1%BA%A7n-i.241243428.12508961420?position=3,"[Hàng Chính Hãng 100%] Nokia 1280, Điện Thoại Nokia1280 Zin Chính Hãng Đủ Phụ Kiện Pin Sài Cả Tuần",4.83,6,,,,,,,,767,,,239000.00,19190,,,,3 Ngày Trả Hàng / Hoàn Tiền,dienthoaicodocla,nokiae72zinchinhhang,False,25,29,17%,trong vài giờ,18 tháng trước,"2,6k"
4,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-M12-(3GB-32GB)-H%C3%A3ng-Ph%C3%A2n-Ph%E1%BB%91i-Ch%C3%ADnh-Th%E1%BB%A9c-i.65589552.6685849255?position=4,Điện Thoại Samsung Galaxy M12 (3GB/32GB) - Hãng Phân Phối Chính Thức,4.92,763,732,6,,,,350,292,"2,6k",,,3490000.00,42,7 ngày miễn phí trả hàng,Hàng chính hãng 100%,Miễn phí vận chuyển,,SAMSUNG OFFICIAL SHOP,samsung_official_store,True,"39,7k",367,99%,trong vài giờ,3 năm trước,"342,2k"
5,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Mini-L8STAR-BM10-(-Nokia-3310-)-2-sim-2-s%C3%B3ng-si%C3%AAu-nh%E1%BB%8F-%C4%91%E1%BB%95i-gi%E1%BB%8Dng-n%C3%B3i-k%E1%BA%BFt-n%E1%BB%91i-BT-Nghe-Nh%E1%BA%A1c-mp3-i.86608834.2106797077?position=5,"Yêu Thích
Điện thoại Mini - L8STAR BM10 - ( Nokia 3310 ) - 2 sim 2 sóng siêu nhỏ - đổi giọng nói - kết nối BT , Nghe Nhạc mp3",4.81,700,,,,,,,,5k,168000.00,42000.00,,47327,,,,3 Ngày Trả Hàng / Hoàn Tiền,Tomeno Store Công nghệ 4.0,tomeno.store,False,"3,6k",270,83%,trong vài giờ,3 năm trước,"2,6k"
6,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-101-Nokia-100-Nokia-105-Zin-Ch%C3%ADnh-H%C3%A3ng-K%C3%A8m-Pin-S%E1%BA%A1c-i.1657913.1236186398?position=6,"Yêu Thích
Điện Thoại Nokia 101,Nokia 100, Nokia 105 Zin Chính Hãng Kèm Pin Sạc",4.65,3078,"2,6k",126,,,,"1,6k",1k,"9,2k",135000.00,132000.00,,68,,,,3 Ngày Trả Hàng / Hoàn Tiền,hà bắc Store,thuythuy889,False,"22,5k",250,96%,trong vài phút,6 năm trước,43k
7,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-OPPO-A16-4GB-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.458675969.9272220112?position=7,Điện thoại OPPO A16 4GB - Hàng chính hãng,4.96,334,,,,,,,,"1,1k",,,3850000.00,223,7 ngày miễn phí trả hàng,Hàng chính hãng 100%,Miễn phí vận chuyển,,oppo_authorized_store_vn,oppo_authorized_store_vn,True,547,28,100%,trong vài giờ,4 tháng trước,"141,1k"
8,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nghe-G%E1%BB%8Di-Nokia-105-Zin-Ch%C3%ADnh-H%C3%A3ng-BH-12-Th%C3%A1ng-K%C3%A8m-Pin-S%E1%BA%A1c-i.1657913.753117458?position=8,"Yêu Thích
Điện Thoại Nghe Gọi Nokia 105 Zin Chính Hãng BH 12 Tháng Kèm Pin Sạc",4.64,1399,"1,2k",59,,,,738,427,"4,2k",116000.00,85000.00,,1046,,,,3 Ngày Trả Hàng / Hoàn Tiền,hà bắc Store,thuythuy889,False,"22,5k",250,96%,trong vài phút,6 năm trước,43k
9,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-A12-(4GB-128GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.8407312736?position=9,Điện Thoại Samsung Galaxy A12 (4GB/128GB) - Hàng Chính Hãng,4.89,353,332,3,,,,178,157,965,,,3690000.00,51,7 ngày miễn phí trả hàng,Hàng chính hãng 100%,Miễn phí vận chuyển,,SAMSUNG OFFICIAL SHOP,samsung_official_store,True,"39,7k",367,99%,trong vài giờ,3 năm trước,"342,2k"
