,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship_x,shopee_guaranteed,company,shop_name,shopee_mall_x,shop_total_review,total_products,response_rate,time_response,years_ex,follower,name,price_dis,price_nondis,freeship_y,rating,rating_count,monthly_sold,store_location,monthly_event,favorite_product,shopee_mall_y,discount_tag,image,ShopDacBiet
1907,https://shopee.vn/M%C3%B4-%C4%90un-H%E1%BA%A1-%C3%81p-T%E1%BB%AB-9v-12v-24v-Xu%E1%BB%91ng-5v-Dc-dc-Hai-C%E1%BB%95ng-Usb-Cho-B%E1%BB%99-S%E1%BA%A1c-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Ho%E1%BA%B7c-L%E1%BA%A5y-Ngu%E1%BB%93n-i.120025829.10519241109?position=1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mô Đun Hạ Áp Từ 9v 12v 24v Xuống 5v Dc - dc Hai Cổng Usb Cho Bộ Sạc Điện Thoại Hoặc Lấy Nguồn,21.800,₫38.832,False,5.0,1.0,2/tháng,Gia Lai,False,,False,"44%
GIẢM",https://cf.shopee.vn/file/8d038ba1e867652911b7ac9585b52cb0_tn,False
1908,https://shopee.vn/NOKIA-E71-CH%C3%8DNH-H%C3%83NG-C%C3%94NG-TY-C%C5%A8-ZIN-%C4%90%E1%BA%B8P-i.132048555.10146686514?position=1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOKIA E71 CHÍNH HÃNG CÔNG TY CŨ ZIN ĐẸP,250.000,₫250.000 - ₫325.000,True,5.0,1.0,2/tháng,Nam Định,True,,False,,https://cf.shopee.vn/file/ec3c481c507764c3d49c06c76d62bf86_tn,False
1909,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi-K30-6gb-128GB-lo%E1%BA%A1i-c%C5%A9-pass-i.415727867.9955263974?position=1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Điện thoại Xiaomi Redmi K30 6gb 128GB loại cũ pass,5.000.000,₫5.000.000,False,5.0,1.0,2/tháng,Thái Bình,False,,False,,https://cf.shopee.vn/file/f240228c69a6cb76fdf4927f80475867_tn,False
1910,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-TECNO-Pova-2-6GB-128GB-Pin-7000mAh-M%C3%A0n-h%C3%ACnh-6.9-FHD-MTK-Helio-G85-BH-13-Th%C3%A1ng-i.252710995.9581671423?position=1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Điện thoại TECNO Pova 2 6GB /128GB - Pin 7000mAh -Màn hình 6.9"" - FHD MTK Helio G85- BH 13 Tháng",4.390.000,₫6.990.000,False,5.0,2.0,2/tháng,TP. Hồ Chí Minh,True,,False,"37%
GIẢM",https://cf.shopee.vn/file/9f88f05bce37b0394371c1980a988784_tn,True
1911,https://shopee.vn/%F0%9F%94%A5C%C3%B3-Pin-V%C3%A0-S%E1%BA%A1c%F0%9F%94%A5%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-1280%F0%9F%94%A5Free-Ship%F0%9F%94%A5-bao-r%E1%BA%BB-i.441849524.9359030642?position=1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🔥Có Pin Và Sạc🔥Điện thoại Nokia 1280🔥Free Ship🔥 bao rẻ,240.999,₫300.000,True,5.0,1.0,2/tháng,TP. Hồ Chí Minh,True,,False,"20%
GIẢM",https://cf.shopee.vn/file/4dbbbc03b928c96aa9c9c66fdb3fc375_tn,True
1912,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Viettel-Mastell-xphon-NG%C6%AF%E1%BB%9CI-GI%C3%80-ch%E1%BB%AF-to-loa-to-pin-tr%C3%A2u-fm-nghe-nh%E1%BA%A1c-i.293394460.9210100882?position=1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Điện thoại Viettel, Mastell,xphon [NGƯỜI GIÀ] chữ to,loa to ,pin trâu, fm ,nghe nhạc",169.000,₫169.000,False,5.0,1.0,2/tháng,Hà Nội,False,,False,,https://cf.shopee.vn/file/1809516467de2be6ef7321b3d452a678_tn,False
1913,https://shopee.vn/B%E1%BB%99-v%E1%BB%8F-ViVo-S1-zin-c%C3%B3-k%C3%ADnh-cam-i.418849641.8580216874?position=1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bộ vỏ ViVo S1 zin có kính cam,230.000,₫230.000,False,5.0,2.0,2/tháng,TP. Hồ Chí Minh,True,,False,,https://cf.shopee.vn/file/834603e3806142fea5d75573603686a8_tn,False
1914,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-LG-G8-Thinkq-Ram-6-128-Snap-855-oled-6.1''2k--i.30580603.3188443569?position=1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Điện thoại LG G8 Thinkq,Ram 6/128,Snap 855,oled 6.1''2k+",3.790.000,₫3.790.000,False,5.0,1.0,2/tháng,Hà Nội,True,Yêu thích,False,,https://cf.shopee.vn/file/54c7f8a98a3a1eb0f6b8f1cc361f57e0_tn,True
1915,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-sony-x-compact-IPS-LCD-4.6-HD-Chatmobile-Shop-i.440331344.7296415485?position=1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Điện thoại sony x compact, IPS LCD, 4.6"", HD | Chatmobile Shop",1.190.000,₫1.190.000,False,5.0,1.0,2/tháng,Hà Nội,True,,False,,https://cf.shopee.vn/file/9bd51af8906682866625d76f23fd7c89_tn,False
1916,https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-NOKIA-1280-MAN-ZIN-M%C3%80N-ZIN-NGHE-G%E1%BB%8CI-T%E1%BB%90T-(-N%C3%B3i-kh%C3%B4ng-v%E1%BB%9Bi-m%C3%A1y-t%C3%A0u-)-i.51027933.2986906784?position=1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ĐIỆN THOẠI NOKIA 1280 MAN ZIN, MÀN ZIN NGHE GỌI TỐT ( Nói không với máy tàu )",140.000,₫140.000 - ₫175.000,False,,,2/tháng,Hà Nội,False,,False,"30%
GIẢM",https://cf.shopee.vn/file/c857dc58f48d97e2b5e257eafad673d5_tn,False
