,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship,shopee_guaranteed,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,years_ex,follower
0,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-E63-h%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-c%C3%B4ng-ty-i.129649666.8288869296?position=545,Điện Thoại Nokia E63 hàng chính hãng công ty,4.50,4,3,0,,,,3,1,21,,,195000.00,281,,,,3 Ngày Trả Hàng / Hoàn Tiền,haidangmobile8686,dienthoai_nokia18,False,156,37,90%,trong vài giờ,32 tháng trước,111
1,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Di-%C4%90%E1%BB%99ng-Nokia-110-4G-TA-1376-DS-VN-i.66829677.4193057059?position=546,Điện thoại di động Nokia 110 4G TA-1376 DS VN Xanh (Aqua)_16LYRE21A02AQ_2021,4.80,5,,,,,,,,11,,,749000.00,7,7 ngày miễn phí trả hàng,Hàng chính hãng 100%,Miễn phí vận chuyển,,Nokia Mobile Official Store,nokia_official_store,True,"3,2k",35,100%,trong vài giờ,3 năm trước,10k
2,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-VIVO-Y93-ram-4G-64G-m%C3%A0n-6.2-gi%E1%BB%8Dt-n%C6%B0%E1%BB%9Bc-Snap-439-N%E1%BA%AFp-l%C6%B0ng-%C4%91%E1%BB%95i-m%C3%A0u-i.49282974.12505864940?position=547,"Yêu Thích
Điện thoại VIVO Y93 ram 4G 64G màn 6.2 giọt nước -Snap 439 Nắp lưng đổi màu",5.00,4,4,0,,,,4,2,17,,,1748000.00,0,,,,3 Ngày Trả Hàng / Hoàn Tiền,Thế Linh Store,thelinhstore,False,22k,500,93%,trong vài giờ,4 năm trước,"60,1k"
3,https://shopee.vn/%C4%90I%E1%BB%86N-THO%E1%BA%A0I-6-PLUS-16-64-128G-LOCK-QTE-ZIN-ALL-i.44772106.12610932661?position=550,"Yêu Thích
ĐIỆN THOẠI 6 PLUS 16/64/128G LOCK & QTE ZIN ALL",5.00,3,3,0,,,,2,2,10,2849000.00,2049000.00,,1086,,,,3 Ngày Trả Hàng / Hoàn Tiền,F1mobile,f1mobile,False,"3,7k",45,95%,trong vài giờ,4 năm trước,14k
4,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vsmart-Aris-(8GB-128GB)-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.407016717.8961006964?position=551,Điện thoại Vsmart Aris (8GB/128GB)- Hàng chính hãng,5.00,7,,,,,,,,17,,,4290000.00,39,,,,3 Ngày Trả Hàng / Hoàn Tiền,quynhvienthong,quynhvienthong,False,871,59,97%,trong vài giờ,7 tháng trước,"1,8k"
5,https://shopee.vn/Sticker-D%C3%A1n-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-M%C3%A8o-Th%E1%BA%A7n-T%C3%A0i-Tr%C3%A2u-V%C3%A0ng-Chi%C3%AAu-T%C3%A0i-H%C3%BAt-L%E1%BB%99c-D%C3%A1n-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Ho%E1%BA%B7c-%C4%90%E1%BB%B1ng-Trong-V%C3%AD-Ti%E1%BB%81n-i.467683283.10419650194?position=552,"Yêu Thích
Sticker Dán Điện Thoại Mèo Thần Tài Trâu Vàng Chiêu Tài Hút Lộc Dán Điện Thoại Hoặc Đựng Trong Ví Tiền",4.75,4,3,0,,,,3,3,14,,,2000.00,15,,,,3 Ngày Trả Hàng / Hoàn Tiền,Phụ Kiện Số AHA,phu_kien_so_aha,False,325,21,81%,trong vài giờ,4 tháng trước,"3,8k"
6,https://shopee.vn/-S%E1%BB%91c-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nokia-e72-main-zin-ch%C3%ADnh-h%C3%A3ng-B%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-i.405102750.9727345518?position=553,[Sốc] Điện thoại nokia e72 main zin chính hãng-Bảo hành 12 tháng,3.57,7,4,1,,,,6,3,17,,,445000.00,38,,,,3 Ngày Trả Hàng / Hoàn Tiền,dien.tu.2tek.1.K,dien.tu.2tek.1,False,356,114,86%,trong vài giờ,7 tháng trước,409
7,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Itel-2163-ghi-%C3%A2m-t%E1%BB%B1-%C4%91%E1%BB%99ng-cu%C3%B4c-g%E1%BB%8Di-%C4%91%E1%BB%8Dc-s%E1%BB%91-goi-t%E1%BB%9Bi-(-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng)-i.23220672.11610999142?position=554,"Yêu Thích
Điện thoại Itel 2163 ghi âm tự động cuôc gọi, đọc số goi tới ( Hàng chính hãng)",5.00,1,1,0,,,,0,0,6,,,189000.00,92,,,,3 Ngày Trả Hàng / Hoàn Tiền,Công Nghệ Di Động,congnghedidong,False,9k,92,74%,trong vài giờ,4 năm trước,"5,4k"
8,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-2-sim-2-s%C3%B3ng-newww-i.169493867.6445539931?position=555,Điện thoại Nokia 2 sim 2 sóng newww,3.00,2,1,1,,,,2,1,14,,,191000.00,20,,,,3 Ngày Trả Hàng / Hoàn Tiền,Phụ kiện điện thoại Pupu,liglig318,False,13,10,67%,trong vài giờ,26 tháng trước,7
9,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-x%C3%A1ch-tay-Nh%E1%BA%ADt-Kyocera-Kyv34-m%C3%A0n-5-inch-ram-2Gb-16Gb-i.18479475.3111693118?position=556,"Yêu Thích
Điện thoại xách tay Nhật Kyocera Kyv34 màn 5 inch ram 2Gb+16Gb",5.00,5,,,,,,,,10,799000.00,649000.00,,27,,,,3 Ngày Trả Hàng / Hoàn Tiền,thietbisogiare,thietbisogiare,False,"6,4k",280,60%,trong vài giờ,5 năm trước,"9,6k"
