,product_url,name_product,rating_product,rating_count_product,quantity_5_star,quantity_4_star,quantity_3_star,quantity_2_star,quantity_1_star,count_cmt,images_video,sold_out,low_price,hight_price,price,inventory,return_7_days,authentic,freeship,shopee_guaranteed,company,shop_name,shopee_mall,shop_total_review,total_products,response_rate,time_response,years_ex,follower
273,https://shopee.vn/%C4%90i%C3%AA%CC%A3n-thoa%CC%A3i-ba%CC%80n-Panasonic-KX-TS500-i.126849031.7667444089?position=2073,"Yêu Thích
Điện thoại bàn Panasonic KX-TS500",,,,,,,,,,3,,,159000.00,187,,,,3 Ngày Trả Hàng / Hoàn Tiền,shopsieure2019,shopsieure2019,False,"5,6k","3,5k",78%,trong vài giờ,32 tháng trước,"2,8k"
274,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-X2-00-gi%C3%A1-r%E1%BA%BB-h%C3%A0ng-ch%E1%BA%A5t-l%C6%B0%E1%BB%A3ng-t%E1%BB%91t-b%E1%BA%A3o-h%C3%A0nh-1-n%C4%83m-i.241365389.7644398579?position=2074,"Điện thoại Nokia X2-00 giá rẻ, hàng chất lượng tốt, bảo hành 1 năm",,,,,,,,,,3,,,299000.00,76,,,,3 Ngày Trả Hàng / Hoàn Tiền,dien.thoai.2tek.6.h,dienthoaidoc6,False,144,187,30%,trong vài giờ,18 tháng trước,89
275,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Redmi2-2-sim-Ch%C3%ADnh-h%C3%A3ng-m%E1%BB%9Bi-ch%C6%A1i-Zalo-FB-Tiktok-Youtube-si%C3%AAu-m%C6%B0%E1%BB%9Bt-i.122206336.7366209468?position=2075,"Yêu Thích
điện thoại Xiaomi Redmi2 2 sim Chính hãng mới, chơi Zalo FB Tiktok Youtube siêu mướt",5.00,1,1,0,,,,0,0,3,529000.00,479000.00,,220222,,,,3 Ngày Trả Hàng / Hoàn Tiền,smartphone_baochau,smartphone_baochau,False,"14,3k","1,1k",89%,trong vài giờ,33 tháng trước,"12,7k"
276,https://shopee.vn/%E2%9C%85-Ch%C3%ADnh-H%C3%A3ng-%E2%9C%85-K%C3%ADnh-Camera-Sau-Samsung-Galaxy-A71-A715-Ch%C3%ADnh-H%C3%A3ng-Gi%C3%A1-R%E1%BA%BB-i.161550338.7259679186?position=2076,"Yêu Thích
✅ Chính Hãng ✅ Kính Camera Sau Samsung Galaxy A71 A715 Chính Hãng Giá Rẻ",,,,,,,,,,11,,,69000.00,68,,,,3 Ngày Trả Hàng / Hoàn Tiền,Yuki Mobile,yukimobile,False,"2,9k","1,8k",83%,trong vài giờ,27 tháng trước,"11,2k"
277,https://shopee.vn/x%C6%B0%C6%A1ng-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-oppo-A9-2020-i.322356924.7164707501?position=2077,xương điện thoại oppo A9-2020,,,,,,,,,,4,,,100000.00,2532,,,,3 Ngày Trả Hàng / Hoàn Tiền,3pih92nrgb7uap4hpd2bka9n6pv_,trungkienstore_2017,False,69,200,13%,trong vài giờ,12 tháng trước,24
278,https://shopee.vn/m%C3%A0n-h%C3%ACnh-oppo-R15x-k1-QOLED-i.244292162.6871323732?position=2079,màn hình oppo R15x/k1 QOLED,,,,,,,,,,3,,,719000.00,96,,,,3 Ngày Trả Hàng / Hoàn Tiền,linhkientrangia,linhkientrangia,False,409,409,86%,trong vài giờ,18 tháng trước,"1,3k"
279,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-MiNi-BM10-i.212075724.6212473446?position=2081,Điện thoại MiNi BM10,,,,,,,,,,3,,,215000.00,97,,,,3 Ngày Trả Hàng / Hoàn Tiền,huyenthanhngo2006,huyenthanhngo2006,False,174,531,33%,trong vài giờ,22 tháng trước,60
280,https://shopee.vn/L%E1%BA%AEP-L%C6%AFNG-SAMSUNG-NOTE8-M%E1%BB%9AI-100--i.25043509.6163397255?position=2082,LẮP LƯNG SAMSUNG NOTE8 MỚI 100%,,,,,,,,,,3,,,130000.00,126,,,,3 Ngày Trả Hàng / Hoàn Tiền,quanlammobile123,quanlammobile123,False,231,365,74%,trong vài giờ,4 năm trước,161
281,https://shopee.vn/Sony-Xperia-C4-Dual-E5333-N%E1%BA%AFp-L%C6%B0ng-R%C3%A1p-M%C3%A1y-i.229007034.6036800845?position=2083,"Yêu Thích
Sony Xperia C4 Dual E5333 - Nắp Lưng Ráp Máy",,,,,,,,,,2,,,55000.00,3,,,,3 Ngày Trả Hàng / Hoàn Tiền,Linh kiện điện thoại KIM CƯƠNG,trinhthanhhoa96,False,"2,5k","1,8k",77%,trong vài giờ,20 tháng trước,656
282,https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Xiaomi-Mi8-Xiaomi-Mi-8-2sim-Ch%C3%ADnh-H%C3%A3ng-ram-6G-b%E1%BB%99-nh%E1%BB%9B-128G-Camera-Selfiel-20MP-Snap-845-i.122206336.5766220243?position=2085,"Yêu Thích
điện thoại Xiaomi Mi8 - Xiaomi Mi 8 2sim Chính Hãng, ram 6G bộ nhớ 128G, Camera Selfiel 20MP, Snap 845",,,,,,,,,,2,6790000.00,6390000.00,,18582,,,,3 Ngày Trả Hàng / Hoàn Tiền,smartphone_baochau,smartphone_baochau,False,"14,3k","1,1k",89%,trong vài giờ,33 tháng trước,"12,7k"
283,https://shopee.vn/motor-%C4%91%E1%BA%A9y-camera-tr%C6%B0%E1%BB%9Bc-vsmart-active-3-zin-b%C3%B3c-m%C3%A1y-i.119566673.5263829519?position=2088,motor đẩy camera trước vsmart active 3 zin bóc máy,,,,,,,,,,2,,,199000.00,1,,,,3 Ngày Trả Hàng / Hoàn Tiền,Shop Khiêm ( LK điện thoại ),nguyentrongkhiem321,False,124,363,78%,trong vài giờ,33 tháng trước,29
284,https://shopee.vn/V%E1%BB%8F-n%E1%BA%AFp-l%C6%B0ng-nokia-6.1-plus-nokia-x6-2018-i.470929062.5092735502?position=2089,"Vỏ, nắp lưng nokia 6.1 plus, nokia x6 2018",,,,,,,,,,3,,,90000.00,9,,,,3 Ngày Trả Hàng / Hoàn Tiền,Shopphukienchinhhang1992,phukienchinhhang1992,False,62,339,97%,trong vài giờ,4 tháng trước,14
285,https://shopee.vn/v%E1%BB%8F-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-oppo-A91-(v%E1%BB%8F-x%C6%B0%C6%A1ng)-i.322356924.4757077968?position=2091,vỏ điện thoại oppo A91 (vỏ+xương),,,,,,,,,,2,,,200000.00,1998,,,,3 Ngày Trả Hàng / Hoàn Tiền,3pih92nrgb7uap4hpd2bka9n6pv_,trungkienstore_2017,False,69,200,13%,trong vài giờ,12 tháng trước,24
286,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Viettel-V6216i-ho%E1%BA%B7c-Xphone-2-sim-c%C5%A9-Tho%E1%BA%A1i-ng%C6%B0%E1%BB%9Di-gi%C3%A0-k%C3%A8m-pin-s%E1%BA%A1c-i.255883179.4393944206?position=2093,Điện thoại Viettel V6216i hoặc Xphone 2 sim cũ- Thoại người già kèm pin sạc,5.00,1,,,,,,,,3,,,135000.00,147,,,,3 Ngày Trả Hàng / Hoàn Tiền,N.Hương Mobile,khobuongiare23,False,10,15,68%,trong vài giờ,17 tháng trước,52
