,name,price_dis,price_nondis,freeship,rating,rating_count,monthly_sold,store_location,monthly_event,favorite_product,shopee_mall,discount_tag,product_url,image,ShopDacBiet
1792,"Nokia 7500 Giá Sỉ CTV, Điện thoại cổ độc Nokia 7500 giá rẻ pin khủng thời trang | TUÂN HƯNG YÊN",399.000,₫399.000,False,,,1/tháng,Hưng Yên,False,,False,,https://shopee.vn/Nokia-7500-Gi%C3%A1-S%E1%BB%89-CTV-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-c%E1%BB%95-%C4%91%E1%BB%99c-Nokia-7500-gi%C3%A1-r%E1%BA%BB-pin-kh%E1%BB%A7ng-th%E1%BB%9Di-trang-TU%C3%82N-H%C6%AFNG-Y%C3%8AN-i.39720082.9884050811?position=1952,https://cf.shopee.vn/file/32409274688a4a3a4b273c7f00a814dd_tn,False
1793,Nắp lưng samsung A71 zin hãng,69.000,₫69.000,False,,,1/tháng,Bắc Kạn,False,Yêu thích,False,,https://shopee.vn/N%E1%BA%AFp-l%C6%B0ng-samsung-A71-zin-h%C3%A3ng-i.36007605.8274182867?position=1953,https://cf.shopee.vn/file/d869d67f6a3f74ed018d9fba76ce34ce_tn,False
1794,"SALE! SALE! ỐP ĐIỆN THOẠI (ip6, ip7)",55.000,₫55.000,True,,,1/tháng,Hải Dương,False,,False,,https://shopee.vn/SALE!-SALE!-%E1%BB%90P-%C4%90I%E1%BB%86N-THO%E1%BA%A0I-(ip6-ip7)-i.95600985.8063405141?position=1954,https://cf.shopee.vn/file/7c5146e11b3f9caaece9ff714c0f998a_tn,False
1795,Tai Nghe Samsung Note 20 Ultra AKG - Hàng Chính Hãng,250.000,₫350.000,True,,,1/tháng,Hà Nội,True,Yêu thích,False,"29%
GIẢM",https://shopee.vn/Tai-Nghe-Samsung-Note-20-Ultra-AKG-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.68115362.6046494218?position=1955,https://cf.shopee.vn/file/a1fe260d69d89cee1c3b745633b2c4b0_tn,True
1796,nokia e61i,950.000,₫950.000,False,,,1/tháng,Hà Nội,True,,False,,https://shopee.vn/nokia-e61i-i.63767182.4075409916?position=1956,https://cf.shopee.vn/file/c6f3bc252de4ed3e724222136d72b5cc_tn,False
1797,Điện thoại motorola V3,1.500.000,₫1.500.000,False,,,1/tháng,Hà Nội,True,,False,,https://shopee.vn/%C4%90i%C3%AA%CC%A3n-thoa%CC%A3i-motorola-V3-i.101617865.3320624404?position=1957,https://cf.shopee.vn/file/82353d503e6748269cbbe4f3ada69ad6_tn,False
1798,Điện thoại Kingreat M200 Hàng Mới Nguyên Hộp - Bảo Hành 1 đổi 1 365 ngày,290.000,₫330.000,False,5.00,1,1/tháng,Hà Nội,True,Yêu thích,False,"12%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Kingreat-M200-H%C3%A0ng-M%E1%BB%9Bi-Nguy%C3%AAn-H%E1%BB%99p-B%E1%BA%A3o-H%C3%A0nh-1-%C4%91%E1%BB%95i-1-365-ng%C3%A0y-i.230383794.11817791435?position=1958,https://cf.shopee.vn/file/f6bf50d07f27bc37bd7de210fdd391bd_tn,True
1799,"Điện thoại Google Pixel 3a, 2 Sim,4/64gb,Oled 5.6’’Fhd+",2.750.000,₫2.900.000,True,5.00,1,1/tháng,Hà Nội,True,Yêu thích,False,"5%
GIẢM",https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Google-Pixel-3a-2-Sim-4-64gb-Oled-5.6%E2%80%99%E2%80%99Fhd--i.30580603.10120642172?position=1959,https://cf.shopee.vn/file/8bdd60a84e75d3270682960924201900_tn,True
1800,nắp lưng 8700 rogers hàng hiếm,89.000,₫89.000,False,5.00,1,1/tháng,Hà Nội,True,,False,,https://shopee.vn/n%E1%BA%AFp-l%C6%B0ng-8700-rogers-h%C3%A0ng-hi%E1%BA%BFm-i.191951750.8581936729?position=1960,https://cf.shopee.vn/file/1f9855cd3437140aab15f5abdb4c751c_tn,False
1801,Điện thoại Realme GT Master Explorer edition { Brand New },10.899.000,₫10.899.000 - ₫12.799.000,False,5.00,2,32/tháng,Hà Nội,True,,False,,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Realme-GT-Master-Explorer-edition-Brand-New--i.2110370.8384946246?position=1961,https://cf.shopee.vn/file/a217cef36d1c0211ea898ad75a257c5d_tn,True
